Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,30000.000000,30650.000000,29800.000000,30100.000000,29937.142578,288790
2018-12-11,29950.000000,30650.000000,29600.000000,29800.000000,29638.765625,420743
2018-12-12,29800.000000,30650.000000,29600.000000,30600.000000,30434.437500,298037
2018-12-13,30950.000000,31050.000000,30300.000000,30850.000000,30683.083984,343543
2018-12-14,30700.000000,31600.000000,30550.000000,31350.000000,31180.378906,452044
2018-12-17,31150.000000,31300.000000,28500.000000,28850.000000,28693.906250,1197389
2018-12-18,28200.000000,29100.000000,27550.000000,28950.000000,28793.365234,519227
2018-12-19,28950.000000,30350.000000,28500.000000,29950.000000,29787.953125,544093
2018-12-20,29800.000000,30900.000000,28950.000000,29500.000000,29340.388672,438223
2018-12-21,29300.000000,30250.000000,29200.000000,30200.000000,30036.601563,363982
2018-12-24,30100.000000,31500.000000,29750.000000,30950.000000,30782.542969,588924
2018-12-26,30100.000000,31950.000000,29950.000000,31600.000000,31429.027344,798171
2018-12-27,32100.000000,32300.000000,30750.000000,31000.000000,30832.273438,498965
2018-12-28,30950.000000,31350.000000,29850.000000,30250.000000,30086.330078,526977
2019-01-02,30500.000000,30800.000000,28950.000000,29050.000000,28892.824219,480380
2019-01-03,29150.000000,29650.000000,28250.000000,28300.000000,28146.880859,460683
2019-01-04,28300.000000,30300.000000,28100.000000,30250.000000,30086.330078,486586
2019-01-07,30850.000000,32150.000000,30400.000000,31350.000000,31180.378906,873397
2019-01-08,31600.000000,31800.000000,30800.000000,31500.000000,31329.568359,356473
2019-01-09,31650.000000,31850.000000,30950.000000,31550.000000,31379.296875,375678
2019-01-10,31300.000000,31650.000000,30850.000000,31500.000000,31329.568359,222596
2019-01-11,31000.000000,31150.000000,29650.000000,30900.000000,30732.814453,810534
2019-01-14,30800.000000,31200.000000,30600.000000,30900.000000,30732.814453,331373
2019-01-15,30900.000000,33500.000000,30900.000000,32950.000000,32771.722656,1612179
2019-01-16,33100.000000,33250.000000,32450.000000,33150.000000,32970.640625,456478
2019-01-17,33150.000000,33200.000000,31450.000000,31800.000000,31627.945313,577786
2019-01-18,32000.000000,32000.000000,31100.000000,31650.000000,31478.755859,410069
2019-01-21,31700.000000,32000.000000,28200.000000,28800.000000,28644.175781,2470455
2019-01-22,28900.000000,29400.000000,28100.000000,29300.000000,29141.470703,804117
2019-01-23,29000.000000,29000.000000,27200.000000,27600.000000,27450.667969,2101245
2019-01-24,27650.000000,28350.000000,27350.000000,27850.000000,27699.316406,913856
2019-01-25,27550.000000,28250.000000,27550.000000,28000.000000,27848.503906,645265
2019-01-28,28050.000000,28150.000000,27500.000000,27650.000000,27500.398438,563754
2019-01-29,27600.000000,28000.000000,27400.000000,27650.000000,27500.398438,425363
2019-01-30,27850.000000,27950.000000,27600.000000,27700.000000,27550.126953,456317
2019-01-31,27850.000000,28750.000000,27700.000000,28700.000000,28544.716797,946660
2019-02-01,28750.000000,28950.000000,28000.000000,28250.000000,28097.152344,491108
2019-02-07,28400.000000,29100.000000,28200.000000,28800.000000,28644.175781,593123
2019-02-08,28350.000000,28750.000000,28300.000000,28550.000000,28395.529297,330131
2019-02-11,28850.000000,29350.000000,28650.000000,29200.000000,29042.011719,735399
2019-02-12,30200.000000,30400.000000,29200.000000,29600.000000,29439.847656,857381
