Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,43400.000000,44900.000000,42900.000000,44050.000000,43805.277344,172922
2018-12-11,44400.000000,45750.000000,43900.000000,45200.000000,44948.886719,258872
2018-12-12,45200.000000,45700.000000,44450.000000,45550.000000,45296.945313,142961
2018-12-13,45700.000000,45800.000000,44950.000000,45600.000000,45346.664063,233338
2018-12-14,45800.000000,46700.000000,44400.000000,44750.000000,44501.386719,308689
2018-12-17,45100.000000,45100.000000,42150.000000,43500.000000,43258.332031,348749
2018-12-18,42200.000000,43750.000000,42200.000000,43200.000000,42960.000000,174654
2018-12-19,43200.000000,46800.000000,42600.000000,46400.000000,46142.222656,416678
2018-12-20,46000.000000,46850.000000,45400.000000,46000.000000,45744.445313,240027
2018-12-21,45800.000000,46850.000000,45500.000000,46650.000000,46390.832031,224569
2018-12-24,46700.000000,48700.000000,46100.000000,47250.000000,46987.500000,399634
2018-12-26,46450.000000,49000.000000,46450.000000,48950.000000,48678.054688,480881
2018-12-27,49150.000000,49300.000000,47550.000000,48700.000000,48429.445313,321087
2018-12-28,48550.000000,48900.000000,46650.000000,47500.000000,47236.109375,335352
2019-01-02,47050.000000,47450.000000,45650.000000,45900.000000,45645.000000,282921
2019-01-03,46200.000000,46750.000000,45450.000000,45550.000000,45296.945313,194723
2019-01-04,45650.000000,48900.000000,45450.000000,48900.000000,48628.332031,392674
2019-01-07,49250.000000,50800.000000,47950.000000,48400.000000,48131.109375,406639
2019-01-08,48800.000000,49100.000000,47550.000000,48400.000000,48131.109375,170395
2019-01-09,48800.000000,48800.000000,46850.000000,47300.000000,47037.222656,294311
2019-01-10,47250.000000,48300.000000,46750.000000,48200.000000,47932.222656,225745
2019-01-11,48400.000000,48400.000000,46000.000000,46450.000000,46191.945313,285451
2019-01-14,46600.000000,47300.000000,45800.000000,46700.000000,46440.554688,239190
2019-01-15,46950.000000,48700.000000,46050.000000,48350.000000,48081.386719,399485
2019-01-16,48550.000000,48600.000000,47400.000000,47600.000000,47335.554688,159352
2019-01-17,47350.000000,47750.000000,44050.000000,44700.000000,44451.664063,570120
2019-01-18,44550.000000,45200.000000,43500.000000,44600.000000,44352.222656,339033
2019-01-21,44950.000000,44950.000000,42400.000000,42800.000000,42562.222656,543213
2019-01-22,42800.000000,43600.000000,41800.000000,43600.000000,43357.777344,261299
2019-01-23,43300.000000,43300.000000,41450.000000,42200.000000,41965.554688,417513
2019-01-24,42600.000000,43600.000000,41950.000000,43100.000000,42860.554688,376752
2019-01-25,42950.000000,43450.000000,42300.000000,42500.000000,42263.886719,262785
2019-01-28,42350.000000,42550.000000,41600.000000,42250.000000,42015.277344,222295
2019-01-29,42050.000000,42600.000000,40850.000000,41400.000000,41170.000000,277863
2019-01-30,41400.000000,41850.000000,40400.000000,40800.000000,40573.332031,390630
2019-01-31,41200.000000,44100.000000,40750.000000,43500.000000,43258.332031,655584
2019-02-01,43750.000000,43900.000000,42900.000000,43450.000000,43208.609375,203944
2019-02-07,43800.000000,46700.000000,43050.000000,45800.000000,45545.554688,489600
2019-02-08,45700.000000,47200.000000,45500.000000,46050.000000,45794.164063,260561
2019-02-11,47000.000000,47450.000000,45600.000000,45600.000000,45346.664063,167509
2019-02-12,45350.000000,45900.000000,44450.000000,44900.000000,44650.554688,177326
2019-02-13,45400.000000,45450.000000,44150.000000,44600.000000,44352.222656,196558
2019-02-14,44300.000000,44800.000000,43200.000000,44450.000000,44203.054688,217958
2019-02-15,44600.000000,45150.000000,44150.000000,44800.000000,44551.109375,211540
2019-02-18,45000.000000,45050.000000,43000.000000,43300.000000,43059.445313,328439
2019-02-19,43300.000000,43300.000000,42600.000000,43050.000000,42810.832031,253769
2019-02-20,43050.000000,44400.000000,42750.000000,44250.000000,44004.167969,336452
2019-02-21,44350.000000,47300.000000,44350.000000,46900.000000,46639.445313,843843
2019-02-22,47250.000000,47700.000000,45850.000000,46500.000000,46241.664063,314696
2019-02-25,46500.000000,48100.000000,46500.000000,47500.000000,47236.109375,290678
2019-02-26,47400.000000,47900.000000,43350.000000,45400.000000,45147.777344,865995
2019-02-27,44800.000000,45350.000000,43800.000000,44800.000000,44551.109375,308023
2019-02-28,44650.000000,44650.000000,41600.000000,42050.000000,41816.386719,703744
2019-03-04,42650.000000,42650.000000,40650.000000,41450.000000,41219.722656,497745
2019-03-05,41050.000000,42350.000000,40550.000000,40800.000000,40573.332031,406899
2019-03-06,40650.000000,41950.000000,40550.000000,41700.000000,41468.332031,446463
2019-03-07,41550.000000,42200.000000,40450.000000,40750.000000,40523.609375,261845
2019-03-08,40500.000000,43350.000000,40350.000000,43250.000000,43009.722656,499480
2019-03-11,41950.000000,42300.000000,36500.000000,37150.000000,36943.609375,1900288
2019-03-12,37350.000000,38700.000000,35250.000000,35900.000000,35700.554688,1657317
2019-03-13,36050.000000,38250.000000,35750.000000,37750.000000,37540.277344,1323217
2019-03-14,37650.000000,37950.000000,36350.000000,37150.000000,36943.609375,756489
2019-03-15,36250.000000,36400.000000,35150.000000,35700.000000,35501.667969,690921
2019-03-18,35150.000000,36600.000000,35150.000000,36500.000000,36297.222656,443989
2019-03-19,36600.000000,36700.000000,35950.000000,36150.000000,35949.167969,248889
2019-03-20,36100.000000,36300.000000,35400.000000,36000.000000,35800.000000,217688
2019-03-21,33900.000000,35800.000000,33200.000000,35400.000000,35203.332031,1440558
2019-03-22,35000.000000,35900.000000,34750.000000,35150.000000,34954.722656,419233
