Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,50500.000000,51700.000000,49900.000000,51000.000000,50228.246094,123413
2018-12-11,51000.000000,53000.000000,51000.000000,52500.000000,51705.546875,252592
2018-12-12,52600.000000,52900.000000,51500.000000,52700.000000,51902.519531,179021
2018-12-13,52800.000000,53000.000000,51500.000000,52800.000000,52001.007813,273093
2018-12-14,52400.000000,52700.000000,50600.000000,50700.000000,49932.785156,186206
2018-12-17,50800.000000,51300.000000,48800.000000,50500.000000,49735.812500,170534
2018-12-18,49300.000000,50500.000000,49050.000000,49200.000000,48455.484375,172263
2018-12-19,49700.000000,52000.000000,49150.000000,51500.000000,50720.679688,214610
2018-12-20,50700.000000,51900.000000,50100.000000,50600.000000,49834.300781,139366
2018-12-21,50000.000000,52300.000000,50000.000000,52300.000000,51508.574219,165162
2018-12-24,51900.000000,53700.000000,51500.000000,52800.000000,52001.007813,237736
2018-12-26,52000.000000,53900.000000,51800.000000,53900.000000,53084.363281,323620
2018-12-27,54500.000000,54800.000000,51600.000000,52000.000000,51213.113281,260055
2018-12-28,52400.000000,52800.000000,50600.000000,52300.000000,51508.574219,256065
2019-01-02,51900.000000,52600.000000,50800.000000,51100.000000,50326.734375,172552
2019-01-03,51400.000000,52300.000000,50000.000000,50400.000000,49637.324219,246526
2019-01-04,50300.000000,52700.000000,49550.000000,52200.000000,51410.085938,215453
2019-01-07,53000.000000,55000.000000,52500.000000,53600.000000,52788.902344,318917
2019-01-08,53700.000000,53800.000000,52200.000000,52200.000000,51410.085938,142998
2019-01-09,52400.000000,52500.000000,50600.000000,51200.000000,50425.218750,280592
2019-01-10,51200.000000,51500.000000,50600.000000,51100.000000,50326.734375,179023
2019-01-11,51100.000000,51400.000000,49550.000000,49950.000000,49194.136719,263360
2019-01-14,50000.000000,50500.000000,49650.000000,50100.000000,49341.867188,204632
2019-01-15,50400.000000,51800.000000,49850.000000,50800.000000,50031.273438,276313
2019-01-16,50900.000000,51000.000000,49400.000000,49500.000000,48750.945313,298013
2019-01-17,49700.000000,49850.000000,47000.000000,47200.000000,46485.750000,456069
2019-01-18,47800.000000,47950.000000,46250.000000,47550.000000,46830.453125,325963
2019-01-21,48350.000000,48350.000000,45750.000000,46300.000000,45599.367188,395931
2019-01-22,46200.000000,47400.000000,45700.000000,47100.000000,46387.261719,235272
2019-01-23,46750.000000,46800.000000,44000.000000,44400.000000,43728.121094,756212
2019-01-24,44550.000000,44750.000000,43500.000000,44350.000000,43678.875000,360659
2019-01-25,44950.000000,46100.000000,44850.000000,45500.000000,44811.472656,367990
2019-01-28,45950.000000,45950.000000,44550.000000,45450.000000,44762.230469,234542
2019-01-29,45000.000000,45300.000000,44500.000000,45000.000000,44319.039063,210296
2019-01-30,45300.000000,46600.000000,44950.000000,46500.000000,45796.343750,330142
2019-01-31,47000.000000,48600.000000,46550.000000,48050.000000,47322.886719,653094
2019-02-01,48400.000000,48400.000000,46600.000000,47050.000000,46338.019531,288446
2019-02-07,47050.000000,47700.000000,46050.000000,47000.000000,46288.777344,269492
2019-02-08,46650.000000,47300.000000,46200.000000,46450.000000,45747.097656,201809
2019-02-11,46900.000000,48400.000000,46850.000000,47750.000000,47027.425781,338981
2019-02-12,47550.000000,48000.000000,46350.000000,46450.000000,45747.097656,298097
2019-02-13,46850.000000,46900.000000,45850.000000,46750.000000,46042.558594,266886
2019-02-14,46350.000000,46650.000000,45800.000000,46400.000000,45697.855469,194442
2019-02-15,46350.000000,47550.000000,46250.000000,47350.000000,46633.480469,299145
2019-02-18,47800.000000,48000.000000,46500.000000,46800.000000,46091.800781,319195
2019-02-19,46700.000000,46800.000000,46350.000000,46550.000000,45845.585938,143896
2019-02-20,46450.000000,48250.000000,46400.000000,48100.000000,47372.128906,426189
2019-02-21,48300.000000,50000.000000,48200.000000,49900.000000,49144.890625,608628
2019-02-22,49450.000000,49750.000000,47950.000000,48150.000000,47421.375000,292417
2019-02-25,48400.000000,48750.000000,47800.000000,48150.000000,47421.375000,204332
2019-02-26,48150.000000,48300.000000,46750.000000,47250.000000,46534.992188,291940
2019-02-27,47300.000000,47800.000000,47000.000000,47100.000000,46387.261719,158553
2019-02-28,47100.000000,47750.000000,46500.000000,46500.000000,45796.343750,196694
2019-03-04,46900.000000,48100.000000,46900.000000,48000.000000,47273.644531,208985
2019-03-05,47500.000000,47700.000000,46800.000000,46850.000000,46141.046875,161026
2019-03-06,46650.000000,47500.000000,46500.000000,46950.000000,46239.531250,156494
2019-03-07,46950.000000,47000.000000,44650.000000,44900.000000,44220.554688,437382
2019-03-08,44400.000000,45600.000000,43500.000000,45300.000000,44614.500000,387339
2019-03-11,45300.000000,45300.000000,39800.000000,40550.000000,39936.378906,1677032
2019-03-12,40600.000000,40900.000000,38850.000000,39050.000000,38459.078125,1087270
2019-03-13,39150.000000,40250.000000,39100.000000,39900.000000,39296.214844,586198
2019-03-14,39850.000000,40450.000000,39200.000000,39200.000000,38606.808594,388805
2019-03-15,39300.000000,39500.000000,37300.000000,37900.000000,37326.480469,784352
2019-03-18,38150.000000,40050.000000,38000.000000,39500.000000,38902.269531,602563
2019-03-19,39450.000000,39950.000000,39150.000000,39200.000000,38606.808594,231344
2019-03-20,39500.000000,39600.000000,38700.000000,38950.000000,38360.593750,289455
2019-03-21,37900.000000,38850.000000,37700.000000,38200.000000,37621.941406,437886
2019-03-22,38300.000000,38850.000000,37950.000000,38750.000000,38163.617188,217847
2019-03-25,38300.000000,39350.000000,38050.000000,38050.000000,37474.210938,337016
2019-03-26,38350.000000,39250.000000,38250.000000,39150.000000,38557.566406,317813
2019-03-27,39650.000000,39650.000000,38400.000000,38400.000000,37818.914063,315752
2019-03-28,38400.000000,38850.000000,38300.000000,38650.000000,38065.132813,154192
2019-03-29,38650.000000,39450.000000,38250.000000,39400.000000,38803.781250,250959
2019-04-01,39450.000000,39750.000000,38900.000000,39350.000000,38754.539063,250837
2019-04-02,39250.000000,40300.000000,39050.000000,40100.000000,39493.191406,448652
2019-04-03,40300.000000,41750.000000,40150.000000,40850.000000,40231.839844,660600
2019-04-04,40800.000000,41100.000000,40100.000000,40600.000000,39985.625000,335265
2019-04-05,40850.000000,41400.000000,40400.000000,40500.000000,39887.136719,233721
2019-04-08,40850.000000,41400.000000,40700.000000,40850.000000,40231.839844,229175
2019-04-09,40850.000000,40900.000000,39900.000000,40100.000000,39493.191406,267826
2019-04-10,40200.000000,40650.000000,40050.000000,40300.000000,39690.164063,129152
2019-04-11,40750.000000,41150.000000,40450.000000,41000.000000,40379.570313,247998
2019-04-12,41300.000000,41400.000000,40750.000000,41150.000000,40527.300781,167063
2019-04-15,41400.000000,41500.000000,40750.000000,41400.000000,40773.515625,231239
2019-04-16,41250.000000,42100.000000,41100.000000,41850.000000,41216.707031,272024
2019-04-17,42100.000000,42450.000000,41750.000000,41900.000000,41265.953125,177480
2019-04-18,42150.000000,42150.000000,40900.000000,41200.000000,40576.542969,231171
2019-04-19,41200.000000,41650.000000,40700.000000,41000.000000,40379.570313,97250
2019-04-22,41100.000000,41700.000000,40700.000000,41450.000000,40822.761719,138504
2019-04-23,41450.000000,41800.000000,41050.000000,41300.000000,40675.031250,119163
2019-04-24,41100.000000,41400.000000,40600.000000,41000.000000,40379.570313,150081
2019-04-25,40750.000000,41150.000000,40250.000000,40400.000000,39788.648438,173018
2019-04-26,40250.000000,40950.000000,40000.000000,40100.000000,39493.191406,138806
2019-04-29,40200.000000,40450.000000,39850.000000,40350.000000,39739.406250,109059
2019-04-30,40250.000000,41900.000000,40250.000000,41350.000000,40724.273438,369568
2019-05-02,41350.000000,41800.000000,41050.000000,41500.000000,40872.003906,133125
2019-05-03,41500.000000,42600.000000,41450.000000,42400.000000,41758.386719,306481
