Date,Open,High,Low,Close,Adj Close,Volume
2021-01-14,164540.000000,168492.906250,161575.312500,164045.890625,164045.890625,345554
2021-01-15,159104.750000,160587.093750,155151.828125,155151.828125,155151.828125,697825
2021-01-18,154163.609375,166516.453125,152681.265625,163551.765625,163551.765625,638199
2021-01-19,166022.343750,172445.828125,165034.109375,171457.593750,171457.593750,465209
2021-01-20,171951.718750,174916.390625,167010.562500,173928.171875,173928.171875,429048
2021-01-21,175904.625000,175904.625000,170963.484375,170963.484375,170963.484375,245379
2021-01-22,170963.484375,195669.187500,169481.140625,190233.937500,190233.937500,2278635
2021-01-25,199622.093750,214445.531250,195175.078125,201104.437500,201104.437500,1907101
2021-01-26,201104.437500,216421.984375,192210.390625,208022.046875,208022.046875,917164
2021-01-27,205551.468750,218892.546875,204069.125000,205057.359375,205057.359375,1015151
2021-01-28,210492.609375,222351.343750,206045.578125,217410.203125,217410.203125,1673528
2021-01-29,219386.671875,219386.671875,198139.765625,202092.671875,202092.671875,782336
2021-02-01,202092.671875,214939.640625,196657.421875,214939.640625,214939.640625,615332
2021-02-02,216421.984375,239645.343750,210986.718750,229763.062500,229763.062500,1379274
2021-02-03,228774.828125,238163.000000,222845.468750,229763.062500,229763.062500,551769
2021-02-04,231245.406250,244092.375000,225810.156250,238657.109375,238657.109375,871763
2021-02-05,240633.578125,246562.937500,234704.203125,240139.453125,240139.453125,405279
2021-02-08,244092.375000,248539.406250,240139.453125,242610.031250,242610.031250,330985
2021-02-09,239151.234375,239645.343750,227292.484375,228280.718750,228280.718750,590826
2021-02-10,229268.953125,238163.000000,227786.609375,228774.828125,228774.828125,393744
2021-02-15,230257.171875,234210.093750,223339.578125,223833.687500,223833.687500,310029
2021-02-16,225316.031250,253480.546875,224821.921875,245080.593750,245080.593750,946405
2021-02-17,244586.484375,251998.203125,239151.234375,246068.828125,246068.828125,398411
2021-02-18,251998.203125,255951.109375,236680.656250,238657.109375,238657.109375,441614
2021-02-19,239645.343750,243104.140625,226304.265625,231739.515625,231739.515625,346774
2021-02-22,233221.859375,233715.968750,223833.687500,224327.812500,224327.812500,228284
2021-02-23,224821.921875,231739.515625,218398.437500,225810.156250,225810.156250,211536
2021-02-24,231739.515625,236680.656250,207527.921875,208516.156250,208516.156250,579571
2021-02-25,212469.062500,213951.406250,202586.781250,209504.390625,209504.390625,390458
2021-02-26,200116.218750,206539.703125,198139.765625,204069.125000,204069.125000,277379
2021-03-02,210492.609375,213951.406250,203575.015625,204563.250000,204563.250000,178600
2021-03-03,207527.921875,211974.953125,205551.468750,209998.500000,209998.500000,735612
2021-03-04,207033.812500,214445.531250,206539.703125,210492.609375,210492.609375,238241
2021-03-05,207033.812500,207527.921875,202092.671875,205057.359375,205057.359375,168520
2021-03-08,207033.812500,212963.187500,203575.015625,205551.468750,205551.468750,286465
2021-03-09,207033.812500,208516.156250,194680.953125,197645.640625,197645.640625,307049
2021-03-10,201104.437500,201598.562500,190233.937500,190728.046875,190728.046875,217853
2021-03-11,192210.390625,210986.718750,190728.046875,209010.265625,209010.265625,451362
2021-03-12,212469.062500,225810.156250,211974.953125,225316.031250,225316.031250,467094
2021-03-15,217410.203125,223833.687500,211480.843750,215433.750000,215433.750000,359746
2021-03-16,218398.437500,220374.890625,213457.296875,216421.984375,216421.984375,183607
2021-03-17,217410.203125,231245.406250,217410.203125,228280.718750,228280.718750,392099
2021-03-18,229268.953125,232727.750000,227292.484375,231245.406250,231245.406250,258333
2021-03-19,225810.156250,228774.828125,220374.890625,223339.578125,223339.578125,213584
2021-03-22,224821.921875,231739.515625,223833.687500,227292.484375,227292.484375,205224
2021-03-23,229268.953125,231739.515625,217410.203125,219386.671875,219386.671875,185111
2021-03-24,218398.437500,222845.468750,213457.296875,216421.984375,216421.984375,146528
2021-03-25,216421.984375,232727.750000,215927.875000,232727.750000,232727.750000,310402
2021-03-26,234210.093750,240139.453125,226304.265625,239151.234375,239151.234375,401241
2021-03-29,240633.578125,240633.578125,231245.406250,233715.968750,233715.968750,227895
2021-03-30,235198.312500,245574.718750,234210.093750,239645.343750,239645.343750,363671
2021-03-31,242115.921875,248045.281250,238163.000000,240139.453125,240139.453125,280230
2021-04-01,243104.140625,244092.375000,231245.406250,236186.546875,236186.546875,285261
2021-04-02,237174.781250,240633.578125,231245.406250,240139.453125,240139.453125,593838
2021-04-05,251998.203125,261880.484375,240633.578125,245080.593750,245080.593750,1697326
2021-04-06,250021.734375,261386.359375,248539.406250,255951.109375,255951.109375,933883
